"TARGET","CCONJ","ADV","ADJ","modifier","comma","id","corpus"
"dirty","but","so","true","so",0,"text1","So dirty but so true"
"dirty","but",NA,"good",NA,0,"text1008","AMD has been steady money down sadly or gladly not sure just feels dirty but good dirty"
"dirty","but",NA,"big",NA,1,"text1027","I know that's dirty, but big boobs"
"dirty","but",NA,"low","kinda",1,"text1040","I love AR comp, kinda dirty, but low pressures."
"dirty","but",NA,"effective",NA,0,"text1066","So they did something quick and dirty but effective - the cost in time and resources of sparing the pool while disabling the complex would simply have been too high while the war was still raging."
"dirty","but",NA,"accurate",NA,1,"text1077","Winchester is dirty, but accurate enough."
"dirty","but",NA,"super",NA,1,"text1080","Yeah, it always feels a bit dirty, but super sarisfying to be carried by an early foe reaper."
"dirty","but",NA,"clean",NA,0,"text1089","Not clean as in dirty but clean as in decluttering."
"dirty","but",NA,"pg",NA,0,"text1097","XXX Sports ( insert dirty but PG slogan )."
"dirty","but",NA,"damn",NA,0,"text1099","Great Wall downtown looks really unassuming and dirty but damn the food is good"
"dirty","but",NA,"effective",NA,0,"text1105","The second is dirty but effective."
"dirty","but",NA,"effective",NA,0,"text1106","The second is dirty but effective."
"dirty","but",NA,"effective",NA,0,"text1110","Dirty but effective for sure."
"dirty","but",NA,"damn",NA,0,"text1117","I heard the oil business was dirty but damn ok"
"dirty","but","not","clean","not",1,"text1122","Not dirty, but not clean either."
"dirty","but",NA,"real",NA,1,"text1132","It may feel dirty, but real-world code is like that."
"dirty",NA,NA,NA,NA,0,"text114","They're a little dirty but very good condition wise."
"dirty","but",NA,"good",NA,0,"text1148","I feel dirty but good at the same time."
"dirty","but",NA,"effective",NA,0,"text1153","Catra would be using dirty but effective tactics that the Rebellion could honestly use, and wouldn’t let morals stop her from going too far."
"dirty","but",NA,"naive",NA,0,"text1156","I think i was the only one that didnt like it too much  I started to miss her dirty but naive humor and personality when she pretended to be a moe blob that cant even talk properly  I like when ui did it coz it was hilarious and she was constantly crackin jokes and breakin character  Lolisuri was just being a baby like h.luna"
"dirty","but",NA,"ill","too",0,"text1174","They were too dirty but ill check the catalogue for other colors"
"dirty","but",NA,"delicious",NA,0,"text1181","Dirty but delicious?"
"dirty","but",NA,"extra","super",0,"text119","The problem is this stuff is waste from coal refineries so it's super dirty but extra cheap."
"dirty","but",NA,"great","really",0,"text1192","It’s great on straights and starts IMO but real crappy on corners, I preferred the Ford gt 17 because I used it a lot off line and it’s had really dirty but great cornering"
"dirty","but",NA,"delicious",NA,0,"text1204","Nobody would ever call, say, Starbucks, dirty but delicious but every Starbucks I’ve been to is dirty as fuck behind the counter."
"dirty","but",NA,"clever",NA,1,"text1205","Dirty, but clever."
"dirty","but",NA,"cheap",NA,1,"text1210","you need to provide a doctor's note if you signed up to a 12 month contract and then provide a written note with a specific set of words to quit. and it takes three months for them to process.   if you're outside of the contract, you need to say a specific string of words on the telephone to a robot exactly, or your cancellation will not process. you can also email or submit a letter with those exact words to cancel. it will take three months or so to process your cancellation. i did not try to cancel in-club, but i still receive spam text messages, emails, and calls from the edge, after having asked them to stop multiple times.   they're basically a scam company who operates under the assumption that 80% of their members will never attend the club - which is why, even though the facilities ARE superb, the place is always jam-packed. their facilities are not large enough to accommodate the amount of members they have. they're a scam company who operates under the assumption that, if they create enough barriers to cancel, customers will just retain their membership for a nominal service charge of $10/month, since it's so cheap.   i do like their facilities. clean, plentiful, large, open, and they have everything you could ever ask for. there's tons of people there, too, so if you want to be social at the gym it's wonderful. but to say that it's only $10/month is disingenuous - it's $170/year plus a $30 signup fee, so it's really $15/month after the first year. there's also taxes and other random fees involved too, but i haven't been a member for a while so i don't recall, but it ended up being closer to $22/month. if you get the $20/month membership, it's closer to $30/month for what you're actually paying.    really, i'd just like an inexpensive gym with nice, clean facilities. planet fitness used to be that 10 years ago, before they got rid of the free weights. crunch fitness was that before it moved away to stratford. edge took all the bad aspects of those two and removed most of the good aspects, and consolidated the members so it's always crowded. i'd rather pay extra to not go there, or just do what i did - go to armstrong, which is dirty, but cheap and never crowded."
"dirty","but","pretty","clear",NA,0,"text1226","From what I see you would be paying about $135 per month on top of your Debt Service so your COC is around a -2.8%  Now that was just quick and dirty but pretty clear that you either need a better purchase price or walk away."
"dirty","but","undoubtedly","beautiful","undoubtedly",1,"text1234","It’s undoubtedly dirty, but undoubtedly beautiful."
"dirty","but","not","clean",NA,1,"text124","Some colours of the Everyman Jacket only come worn out and dirty, but not clean, but if you want stripes it HAS to be clean, not worn out."
"dirty","but",NA,"good",NA,0,"text1250","Dirty but good!!"
"dirty","but",NA,"good",NA,1,"text1251","Dirty, but good!"
"dirty",NA,NA,NA,NA,0,"text1254","By the 4th paw the water will be a little dirty but not horrible."
"dirty","but",NA,"incinerating",NA,1,"text1266","The only reason this hasn't caught on here is it *feels* dirty, but incinerating waste do **not** mean the same thing as \"burning garbage in an open pit.\""
"dirty","but","not","harmful",NA,0,"text1274","Good practice and makes me feel a bit better and while it's a bit much now it does make you think about how dirty shipping items can be (though usually it's dirty but not harmful)"
"dirty","but","still","cute",NA,0,"text1327","Dirty but still cute."
"dirty","but",NA,"stil",NA,0,"text1329","Dirty but stil a Good Boy"
"dirty","but","very","smart",NA,0,"text1333","They're dirty but very smart."
"dirty","but",NA,"sober",NA,0,"text1334","Ie there a dirty but sober?"
"dirty","but","really","dirty",NA,0,"text1344","When my truck is dirty but really dirty I get the same message."
"dirty","but",NA,"naa","just",0,"text135","It looks nice but I feel like I would have to wash it twice in case it's just dirty but naa yea it looks cool."
"dirty",NA,NA,NA,NA,0,"text1387","Little dirty but worth it."
"dirty","but",NA,"excellent",NA,0,"text1391","oof that felt dirty but excellent play"
"dirty","but",NA,"small","too",1,"text1393","I like the option of being able to swap out a board if one gets too dirty, but small ones can hold maybe an onion and you’re still crammed while working."
"dirty","but","how","many",NA,1,"text1401","A countertop might not appear to be dirty, but how many different people touched that countertop throughout the day?"
"dirty","but","pretty","good","very",1,"text1403","I promise i didn’t ask for the money, he did it totally unprompted, makes me feel very dirty, but pretty good about myself which I guess is his point :)"
"dirty","but",NA,"other",NA,0,"text1416","It's a bit dirty but other than that looks fine to me."
"dirty","but",NA,"exhilarated",NA,0,"text1423","I feel dirty but exhilarated 😝"
"dirty","but",NA,"major",NA,1,"text1437","Liv wasn't afraid to get her hands dirty, but Major and Ravi get that way because they're just doing the best they can to help others, and they do so in the only way they know how, by being their nice selves and leaving themselves vulnerable to punishment because they can't take another route."
"dirty","but",NA,"holy",NA,1,"text1464","Sure, cirellis cross check was dirty, but holy fuck Chara was being a fucking cunt all night and deserved it."
"dirty","but","not","bad",NA,0,"text1472","I wear gray shoes, a bit dirty but not bad."
"dirty","but",NA,"effective",NA,0,"text1473","My quick, dirty but effective performance wise solution,  is to calculate your tile by transforming mouse coordinates to tile coordinates."
"dirty","but","so","true","so",0,"text1479","You did my boy Pol Pol so dirty but so true"
